year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,446,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,446,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,446,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,446,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,446,1140823835.049889,44.584838095074744,16866281360.909266,108761427178.04794
2019,446,1186594862.4290907,43.93249976374482,18290377617.452297,109523024411.48508
2020,446,1234202270.57365,44.84192021324515,19206877410.849518,112345712218.63326
2021,446,1283719736.9714556,43.2755871399954,20916478998.226936,116204632991.77826
2022,446,1335223895.1271012,38.87207493043574,22600998971.635452,122657527931.89398
2023,446,1388794453.1603258,39.060756934473915,24359736617.2308,126248249362.18906
2024,446,1444514317.1627328,39.02987164901948,26179884654.518604,130206866102.64403
2025,446,1502469719.503719,38.79290375919232,28089243582.155975,134456273562.42693
2026,446,1562750352.284167,38.36735338693149,30131381854.54928,139095581101.29065
2027,446,1624929861.426182,36.319110856504174,32442905530.24204,145033129728.74115
2028,446,1685390872.557602,34.21974330114861,34750910648.01657,150515809773.9152
2029,446,1743195796.9024377,32.081312425474614,36962541528.51258,155390673812.1366
2030,446,1802910605.5005565,29.9068701790169,39344337375.78869,160627154283.44977
2031,446,1864646409.7213116,27.70566907405972,41929770321.97497,166210685799.59836
2032,446,1927422183.5795124,25.477875922100406,44759875770.56239,172625170610.24048
