year,run_id,energy_generation,reserve_margin,cost_of_production,GHG_emissions
2014,171,1085266800.0000002,42.96086572023483,20651744323.248737,128553709952.8718
2015,171,1113868799.9999998,42.176521066084206,16676232305.934092,132549954969.26651
2016,171,1149379200.0000002,46.42806828981224,16401283322.663458,137296961129.47572
2017,171,1181959200.0,48.81871590469672,18699267591.630177,140211618167.20346
2018,171,1139007371.2301435,44.81541880413536,12537961724.483118,108466089676.91475
2019,171,1182819186.2743018,44.39194657823967,13386114563.854616,108932024171.25911
2020,171,1228316218.8033915,45.53599803117817,13929099859.906603,103616721858.9566
2021,171,1275563290.5548527,44.19174681468025,14571002769.334465,106998308336.69995
2022,171,1324627716.628364,39.98296312640259,15204543858.90748,113444954355.98788
2023,171,1375579401.392799,40.39669951972908,15995339072.215532,116472693064.24576
2024,171,1428490938.0822287,40.58936935219485,16794906167.771261,119894063111.52415
2025,171,1483437712.2228756,40.57357006766586,17597325429.29078,123597291376.30843
2026,171,1540498009.0383775,40.366056289182815,18430199056.75528,127691001513.53868
2027,171,1599753124.9863899,38.508766108294594,19358382286.863445,133562461694.30591
2028,171,1660291183.6291568,36.59316592686993,20371834925.21297,140004594391.46588
2029,171,1719483251.9776492,34.631286079722145,21340682169.935696,146457632060.29965
2030,171,1776212572.02283,32.62603615910476,22232841508.53506,152299655771.12823
2031,171,1834764864.6958084,30.586685438436767,23185606082.24297,158588882146.51584
2032,171,1895184950.3338907,28.513257460895236,24194096104.58893,165690566803.5638
