Branch,piirce_2023,piirce_2018,opt
Regenerative Braking,"Step(2014, 0.007, 2015, 0.007, 2016, 0.007, 2017, 0.007, 2018, 0, 2019, 0, 2020, 0, 2021, 0, 2022, 0, 2023, 0, 2024, 0, 2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0)","Step(2014, 0.007, 2015, 0.007, 2016, 0.007, 2017, 0.007, 2018, 0.007, 2019, 0.007, 2020, 0.007, 2021, 0.007, 2022, 0.007, 2023, 0.007, 2024, 0.007, 2025, 0.007, 2026, 0.007, 2027, 0.007, 2028, 0.007, 2029, 0.007, 2030, 0.007, 2031, 0.007, 2032, 0.007)","Step(2014, 0.007, 2015, 0.007, 2016, 0.007, 2017, 0.007)"
Bioenergy,"Step(2014, 0.685, 2015, 0.764, 2016, 0.889, 2017, 1.007, 2018, 1.007, 2019, 1.007, 2020, 1.007, 2021, 1.007, 2022, 1.007, 2023, 1.007, 2024, 1.007, 2025, 1.007, 2026, 1.007, 2027, 1.007, 2028, 1.007, 2029, 1.007, 2030, 1.007, 2031, 1.007, 2032, 1.007)","Step(2014, 0.685, 2015, 0.764, 2016, 0.889, 2017, 1.007, 2018, 1.007, 2019, 1.007, 2020, 1.007, 2021, 1.007, 2022, 1.007, 2023, 1.007, 2024, 1.007, 2025, 1.007, 2026, 1.007, 2027, 1.007, 2028, 1.007, 2029, 1.007, 2030, 1.007, 2031, 1.007, 2032, 1.007)","Step(2014, 0.685, 2015, 0.764, 2016, 0.889, 2017, 1.007)"
CHP,"Step(2014, 0.559, 2015, 0.583, 2016, 1.036, 2017, 1.251, 2018, 1.251, 2019, 1.251, 2020, 1.251, 2021, 1.251, 2022, 1.251, 2023, 1.251, 2024, 1.251, 2025, 1.251, 2026, 1.251, 2027, 1.251, 2028, 1.251, 2029, 1.251, 2030, 1.251, 2031, 1.251, 2032, 1.251)","Step(2014, 0.559, 2015, 0.583, 2016, 1.036, 2017, 1.251, 2018, 1.251, 2019, 1.251, 2020, 1.251, 2021, 1.251, 2022, 1.251, 2023, 1.251, 2024, 1.251, 2025, 1.251, 2026, 1.251, 2027, 1.251, 2028, 1.251, 2029, 1.251, 2030, 1.251, 2031, 1.251, 2032, 1.251)","Step(2014, 0.559, 2015, 0.583, 2016, 1.036, 2017, 1.251)"
Solar PV,"Step(2014, 0.056, 2015, 0.056, 2016, 0.145, 2017, 0.214, 2018, 0.214, 2019, 0.214, 2020, 0.214, 2021, 0.214, 2022, 0.214, 2023, 0.214, 2024, 0.214, 2025, 0.214, 2026, 0.214, 2027, 0.214, 2028, 0.214, 2029, 0.214, 2030, 0.214, 2031, 0.214, 2032, 0.214)","Step(2014, 0.056, 2015, 0.056, 2016, 0.145, 2017, 0.214, 2018, 0.214, 2019, 0.214, 2020, 0.214, 2021, 0.214, 2022, 0.214, 2023, 0.214, 2024, 0.214, 2025, 0.214, 2026, 0.214, 2027, 0.214, 2028, 0.214, 2029, 0.214, 2030, 0.214, 2031, 0.214, 2032, 0.214)","Step(2014, 0.056, 2015, 0.056, 2016, 0.145, 2017, 0.214)"
CFB,"Step(2014, 0.58, 2015, 0.58, 2016, 0.58, 2017, 0.58, 2018, 0, 2019, 0, 2020, 0, 2021, 0, 2022, 0, 2023, 0, 2024, 0, 2025, 0, 2026, 0, 2027, 0, 2028, 0, 2029, 0, 2030, 0, 2031, 0, 2032, 0)","Step(2014, 0.58, 2015, 0.58, 2016, 0.58, 2017, 0.58, 2018, 0.58, 2019, 0.58, 2020, 0.58, 2021, 0.58, 2022, 0.58, 2023, 0.58, 2024, 0.58, 2025, 0.58, 2026, 0.58, 2027, 0.58, 2028, 0.58, 2029, 0.58, 2030, 0.58, 2031, 0.58, 2032, 0.58)","Step(2014, 0.58, 2015, 0.58, 2016, 0.58, 2017, 0.58)"
Geothermal,"Step(2014, 0.813, 2015, 0.884, 2016, 0.909, 2017, 0.926, 2018, 0.701, 2019, 0.899, 2020, 0.899, 2021, 0.899, 2022, 0.899, 2023, 0.899, 2024, 0.899, 2025, 0.899, 2026, 0.899, 2027, 0.899, 2028, 0.899, 2029, 0.899, 2030, 0.899, 2031, 0.899, 2032, 0.899)","Step(2014, 0.813, 2015, 0.884, 2016, 0.909, 2017, 0.926, 2018, 0.926, 2019, 0.911, 2020, 0.881, 2021, 0.866, 2022, 0.866, 2023, 0.866, 2024, 0.866, 2025, 0.866, 2026, 0.866, 2027, 0.866, 2028, 0.866, 2029, 0.866, 2030, 0.866, 2031, 0.866, 2032, 0.866)","Step(2014, 0.813, 2015, 0.884, 2016, 0.909, 2017, 0.926)"
ICE,"Step(2014, 1.152, 2015, 1.186, 2016, 1.453, 2017, 1.634, 2018, 0.701, 2019, 0.891, 2020, 0.85, 2021, 0.701, 2022, 0.728, 2023, 0.728, 2024, 0.728, 2025, 0.728, 2026, 0.728, 2027, 0.728, 2028, 0.728, 2029, 0.728, 2030, 0.728, 2031, 0.728, 2032, 0.728)","Step(2014, 1.152, 2015, 1.186, 2016, 1.453, 2017, 1.634, 2018, 1.635, 2019, 1.635, 2020, 1.635, 2021, 1.635, 2022, 1.562, 2023, 1.53, 2024, 1.53, 2025, 1.53, 2026, 1.53, 2027, 1.53, 2028, 1.53, 2029, 1.53, 2030, 1.53, 2031, 1.53, 2032, 1.53)","Step(2014, 1.152, 2015, 1.186, 2016, 1.453, 2017, 1.634)"
Nuclear,"Step(2014, 1.4, 2015, 1.51, 2016, 1.608, 2017, 1.608, 2018, 1.608, 2019, 1.608, 2020, 1.608, 2021, 1.608, 2022, 1.608, 2023, 1.608, 2024, 1.608, 2025, 1.608, 2026, 1.608, 2027, 1.608, 2028, 1.608, 2029, 1.608, 2030, 1.608, 2031, 1.608, 2032, 1.608)","Step(2014, 1.4, 2015, 1.51, 2016, 1.608, 2017, 1.608, 2018, 1.608, 2019, 1.608, 2020, 1.608, 2021, 1.608, 2022, 1.608, 2023, 1.608, 2024, 1.608, 2025, 1.608, 2026, 1.608, 2027, 1.608, 2028, 1.608, 2029, 1.608, 2030, 1.608, 2031, 1.608, 2032, 1.608)","Step(2014, 1.4, 2015, 1.51, 2016, 1.608, 2017, 1.608)"
Wind,"Step(2014, 2.036, 2015, 2.805, 2016, 3.735, 2017, 4.199, 2018, 4.199, 2019, 4.199, 2020, 4.199, 2021, 4.199, 2022, 4.199, 2023, 4.199, 2024, 4.199, 2025, 4.199, 2026, 4.199, 2027, 4.199, 2028, 4.199, 2029, 4.199, 2030, 4.199, 2031, 4.199, 2032, 4.199)","Step(2014, 2.036, 2015, 2.805, 2016, 3.735, 2017, 4.199, 2018, 4.198, 2019, 4.198, 2020, 4.198, 2021, 4.198, 2022, 4.198, 2023, 4.197, 2024, 4.197, 2025, 4.197, 2026, 4.197, 2027, 4.197, 2028, 4.197, 2029, 4.197, 2030, 4.197, 2031, 4.197, 2032, 4.197)","Step(2014, 2.036, 2015, 2.805, 2016, 3.735, 2017, 4.199)"
Turbogas,"Step(2014, 4.214, 2015, 4.904, 2016, 5.052, 2017, 5.136, 2018, 3.222, 2019, 2.96, 2020, 3.545, 2021, 3.744, 2022, 3.815, 2023, 3.815, 2024, 3.815, 2025, 3.815, 2026, 3.815, 2027, 3.815, 2028, 3.815, 2029, 3.815, 2030, 3.815, 2031, 3.815, 2032, 3.815)","Step(2014, 4.214, 2015, 4.904, 2016, 5.052, 2017, 5.136, 2018, 5.062, 2019, 5.062, 2020, 4.856, 2021, 4.856, 2022, 4.673, 2023, 4.004, 2024, 4.004, 2025, 4.004, 2026, 4.004, 2027, 3.961, 2028, 3.961, 2029, 3.961, 2030, 3.961, 2031, 3.961, 2032, 3.961)","Step(2014, 4.214, 2015, 4.904, 2016, 5.052, 2017, 5.136)"
